drive,depth,rundepth
1,0.5,-1.5
1,2,0
1,4,2
1,6,4
1,8,6
1,10,8
1,12,10
1,14,12
1,16,14
1,18,16
1,20,18
1,22,20
1,24,22
1,26,24
1,28,26
1,30,28
1,32,30
1,34,32
1,36,34
1,38,36
1,40,38
1,42,40
1,44,42
1,46,44
1,48,46
1,50,48
1,52,50
1,54,52
1,56,54
1,58,56
1,60,58
1,62,60
1,64,62
1,66,64
1,68,66
1,70,68
1,72,70
1,74,72
1,76,74
1,78,76
2,49,79
2,51,81
2,53,83
2,55,85
2,57,87
2,59,89
2,61,91
2,63,93
2,65,95
2,67,97
2,69,99
2,71,101
2,73,103
2,75,105
2,77,107
2,79,109
2,81,111
2,83,113
2,85,115
2,87,117
2,89,119
2,91,121
4,9,123
4,11,125
4,13,127
4,15,129
4,17,131
4,19,133
4,21,135
4,23,137
4,25,139
4,27,141
4,29,143
4,31,145
4,33,147
4,35,149
4,37,151
4,39,153
4,41,155
4,43,157
4,45,159
4,47,161
4,49,163
4,51,165
4,53,167
4,55,169
4,57,171
4,59,173
4,61,175
4,63,177
4,65,179
4,67,181
4,69,183
4,71,185
4,73,187
4,75,189
4,77,191
4,79,193
4,81,195
4,83,197
4,85,199
4,87,201
4,91,203
4,97,205
